"geno","male","female","pool"
"UGP202000022-8","KMI61","KBL648","A"
"UGP202000020-14","KMI61","Carrot_C","A"
"UGP202000023-7","KMI61","APA323","A"
"UGP202000021-8","KMI61","MPG1128","A"
"UGP202000022-10","KMI61","KBL648","A"
"UGP202000020-11","KMI61","Carrot_C","A"
"UGP202000021-13","KMI61","MPG1128","A"
"UGP202000020-2","KMI61","Carrot_C","A"
"UGP202000023-10","KMI61","APA323","A"
"UGP202000022-7","KMI61","KBL648","A"
"UGP202000022-17","KMI61","KBL648","A"
"UGP202000020-9","KMI61","Carrot_C","A"
"UGP202000020-5","KMI61","Carrot_C","A"
"UGP202000022-2","KMI61","KBL648","A"
"UGP202000021-6","KMI61","MPG1128","A"
"UGP202000021-18","KMI61","MPG1128","A"
"UGP202000020-8","KMI61","Carrot_C","A"
"UGP202000003-17","Carrot_C","RAK819","A"
"UGP202000007-7","Carrot_C","Oguroiwe","A"
"UGP202000008-13","Carrot_C","APA323","A"
"UGP202000006-10","Carrot_C","KML872","A"
"UGP202000010-3","Carrot_C","RAK835","A"
"UGP202000253-9","MPG1128","RAK819","A"
"UGP202000028-22","MPG1128","MLE194","A"
"UGP202000025-10","MPG1128","KBL648","A"
"UGP202000026-16","MPG1128","NASPOT_7","A"
"UGP202000028-18","MPG1128","MLE194","A"
"UGP202000030-16","KBL648","Ejumula","A"
"UGP202000036-9","KBL648","NK318L","A"
"UGP202000037-12","KBL648","MLE194","A"
"UGP202000254-5","KBL648","KML872","A"
"UGP202000030-4","KBL648","Ejumula","A"
"UGP202000046-14","RAK819","NK318L","A"
"UGP202000045-17","RAK819","RAK835","A"
"UGP202000041-6","RAK819","KBL648","A"
"UGP202000042-10","RAK819","NASPOT_9_O","A"
"UGP202000041-8","RAK819","KBL648","A"
"UGP202000012-15","Ejumula","KMI61","A"
"UGP202000013-19","Ejumula","KBL648","A"
"UGP202000016-18","Ejumula","APA323","A"
"UGP202000017-22","Ejumula","Otada","A"
"UGP202000019-7","Ejumula","MLE194","A"
"UGP202000051-7","NASPOT_9_O","NASPOT_7","A"
"UGP202000051-6","NASPOT_9_O","NASPOT_7","A"
"UGP202000054-8","NASPOT_9_O","MLE194","A"
"UGP202000051-20","NASPOT_9_O","NASPOT_7","A"
"UGP202000051-10","NASPOT_9_O","NASPOT_7","A"
"UGP202000057-8","Tororo3","LUW1274","A"
"UGP202000059-23","Tororo3","KML872","A"
"UGP202000059-10","Tororo3","KML872","A"
"UGP202000062-15","Tororo3","RAK835","A"
"UGP202000058-10","Tororo3","NASPOT_7","A"
"UGP202000065-5","LUW1274","Mayai","A"
"UGP202000067-4","LUW1274","Otada","A"
"UGP202000256-14","LUW1274","KBL648","A"
"UGP202000068-8","LUW1274","NK318L","A"
"UGP202000067-6","LUW1274","Otada","A"
"UGP202000071-3","NASPOT_7","KBL648","A"
"UGP202000074-10","NASPOT_7","RAK835","A"
"UGP202000073-5","NASPOT_7","Otada","A"
"UGP202000072-7","NASPOT_7","APA323","A"
"UGP202000072-1","NASPOT_7","APA323","A"
"UGP202000077-20","NASPOT_10_O","RAK819","A"
"UGP202000261-12","NASPOT_10_O","NASPOT_7","A"
"UGP202000260-7","NASPOT_10_O","MPG1128","A"
"UGP202000077-2","NASPOT_10_O","RAK819","A"
"UGP202000077-5","NASPOT_10_O","RAK819","A"
"UGP202000078-20","KML872","Carrot_C","A"
"UGP202000081-9","KML872","MPG1128","A"
"UGP202000085-9","KML872","RAK835","A"
"UGP202000081-21","KML872","MPG1128","A"
"UGP202000084-21","KML872","Otada","A"
"UGP202000262-3","Oguroiwe","Carrot_C","A"
"UGP202000263-8","Oguroiwe","MPG1128","A"
"UGP202000262-18","Oguroiwe","Carrot_C","A"
"UGP202000263-13","Oguroiwe","MPG1128","A"
"UGP202000262-19","Oguroiwe","Carrot_C","A"
"UGP202000264-3","APA323","Tororo3","A"
"UGP202000096-11","APA323","Oguroiwe","A"
"UGP202000095-18","APA323","KML872","A"
"UGP202000093-3","APA323","LUW1274","A"
"UGP202000097-13","APA323","NK318L","A"
"UGP202000100-3","Otada","Ejumula","A"
"UGP202000100-10","Otada","Ejumula","A"
"UGP202000100-13","Otada","Ejumula","A"
"UGP202000099-15","Otada","Carrot_C","A"
"UGP202000101-11","Otada","NK318L","A"
"UGP202000265-1","RAK835","Carrot_C","A"
"UGP202000107-15","RAK835","NK318L","A"
"UGP202000105-16","RAK835","MPG1128","A"
"UGP202000106-6","RAK835","LUW1274","A"
"UGP202000104-9","RAK835","KMI61","A"
"UGP202000113-21","NK318L","LUW1274","A"
"UGP202000118-11","NK318L","RAK835","A"
"UGP202000113-12","NK318L","LUW1274","A"
"UGP202000113-19","NK318L","LUW1274","A"
"UGP202000119-9","NK318L","MLE194","A"
"UGP202000125-13","MLE194","NK318L","A"
"UGP202000123-19","MLE194","Otada","A"
"UGP202000125-17","MLE194","NK318L","A"
"UGP202000125-4","MLE194","NK318L","A"
"UGP202000121-1","MLE194","MPG1128","A"
"UGP202000023-14","KMI61","APA323","A"
"UGP202000020-20","KMI61","Carrot_C","A"
"UGP202000020-7","KMI61","Carrot_C","A"
"UGP202000023-8","KMI61","APA323","A"
"UGP202000021-7","KMI61","MPG1128","A"
"UGP202000089-8","APA323","Mayai","A"
"UGP202000089-1","APA323","Mayai","A"
"UGP202000089-3","APA323","Mayai","A"
"UGP202000089-4","APA323","Mayai","A"
"UGP202000089-6","APA323","Mayai","A"
"UGP202000080-1","KML872","Mayai","A"
"UGP202000080-14","KML872","Mayai","A"
"UGP202000080-16","KML872","Mayai","A"
"UGP202000080-10","KML872","Mayai","A"
"UGP202000065-21","LUW1274","Mayai","A"
"UGP202000065-10","LUW1274","Mayai","A"
"UGP202000065-9","LUW1274","Mayai","A"
"UGP202000080-15","KML872","Mayai","A"
"UGP202000080-12","KML872","Mayai","A"
"UGP202000065-4","LUW1274","Mayai","A"
"UGP202000065-12","LUW1274","Mayai","A"
"UGP202000065-7","LUW1274","Mayai","A"
