"geno","row_number","col_number","colgroup","rowgroup","rc.group","env","pool","status","rytha","rn","cn","check","geno.cod","check.cod"
"MLE199",6,11,"2","1","2_1","OT1NAM22","B","Parent",4.44444444444444,"6","11","Candidate","MLE199",NA
"UGP202000141-6",6,12,"2","1","2_1","OT1NAM22","B","Regular",1.88888888888889,"6","12","Candidate","UGP202000141-6",NA
"UGP202000102-17",6,13,"2","1","2_1","OT1NAM22","A","Regular",28.1481481481481,"6","13","Candidate","UGP202000102-17",NA
"UGP202000203-7",6,14,"2","1","2_1","OT1NAM22","B","Regular",12.962962962963,"6","14","Candidate","UGP202000203-7",NA
"UGP202000028-5",6,15,"2","1","2_1","OT1NAM22","A","Regular",19.2592592592593,"6","15","Candidate","UGP202000028-5",NA
"UGP202000099-15",6,16,"2","1","2_1","OT1NAM22","A","Regular",0.666666666666667,"6","16","Candidate","UGP202000099-15",NA
"UGP202000077-2",6,17,"2","1","2_1","OT1NAM22","A","Regular",10,"6","17","Candidate","UGP202000077-2",NA
"MPG1128",6,18,"2","1","2_1","OT1NAM22","A","Parent",7.44444444444444,"6","18","Candidate","MPG1128",NA
"UGP202000107-15",6,19,"2","1","2_1","OT1NAM22","A","Regular",11.1481481481481,"6","19","Candidate","UGP202000107-15",NA
"UGP202000261-10",6,20,"2","1","2_1","OT1NAM22","A","Regular",18.962962962963,"6","20","Candidate","UGP202000261-10",NA
"CIP199062.1",6,21,"3","1","3_1","OT1NAM22","B","Parent",12.962962962963,"6","21","Candidate","CIP199062.1",NA
"UGP202000117-6",6,22,"3","1","3_1","OT1NAM22","A","Regular",5.2962962962963,"6","22","Candidate","UGP202000117-6",NA
"UGP202000175-12",6,23,"3","1","3_1","OT1NAM22","B","Regular",22.2592592592593,"6","23","Candidate","UGP202000175-12",NA
"UGP202000138-6",6,24,"3","1","3_1","OT1NAM22","B","Regular",8.92592592592592,"6","24","Candidate","UGP202000138-6",NA
"UGP202000076-6",6,25,"3","1","3_1","OT1NAM22","A","Regular",9.81481481481481,"6","25","Candidate","UGP202000076-6",NA
"UGP202000232-12",6,26,"3","1","3_1","OT1NAM22","B","Regular",12.962962962963,"6","26","Candidate","UGP202000232-12",NA
"KMI61",6,27,"3","1","3_1","OT1NAM22","A","Parent",19.2962962962963,"6","27","Candidate","KMI61",NA
"UGP202000210-6",6,28,"3","1","3_1","OT1NAM22","B","Regular",6.7037037037037,"6","28","Candidate","UGP202000210-6",NA
"UGP202000124-5",6,29,"3","1","3_1","OT1NAM22","A","Regular",21.9259259259259,"6","29","Candidate","UGP202000124-5",NA
"UGP202000156-5",6,30,"3","1","3_1","OT1NAM22","B","Regular",19.037037037037,"6","30","Candidate","UGP202000156-5",NA
"UGP202000054-8",7,1,"1","1","1_1","OT1NAM22","A","Regular",28.1481481481481,"7","1","Candidate","UGP202000054-8",NA
"Beauregard",7,2,"1","1","1_1","OT1NAM22","C","Check",4.44444444444444,"7","2","Check",NA,"Beauregard"
"UGP202000263-11",7,3,"1","1","1_1","OT1NAM22","A","Regular",NA,"7","3","Candidate","UGP202000263-11",NA
"UGP202000067-4",7,4,"1","1","1_1","OT1NAM22","A","Regular",21.8518518518519,"7","4","Candidate","UGP202000067-4",NA
"UGP202000133-13",7,5,"1","1","1_1","OT1NAM22","B","Regular",28.8888888888889,"7","5","Candidate","UGP202000133-13",NA
"NASPOT_8",7,6,"1","1","1_1","OT1NAM22","C","Check",67.037037037037,"7","6","Check",NA,"NASPOT_8"
"UGP202000240-15",7,7,"1","1","1_1","OT1NAM22","B","Regular",NA,"7","7","Candidate","UGP202000240-15",NA
"UGP202000062-16",7,8,"1","1","1_1","OT1NAM22","A","Regular",27.7777777777778,"7","8","Candidate","UGP202000062-16",NA
"UGP202000268-8",7,9,"1","1","1_1","OT1NAM22","B","Regular",4.51851851851852,"7","9","Candidate","UGP202000268-8",NA
"UGP202000235-10",7,10,"1","1","1_1","OT1NAM22","B","Regular",8.88888888888889,"7","10","Candidate","UGP202000235-10",NA
"UGP202000269-2",7,11,"2","1","2_1","OT1NAM22","B","Regular",2.22222222222222,"7","11","Candidate","UGP202000269-2",NA
"UGP202000269-7",7,12,"2","1","2_1","OT1NAM22","B","Regular",31.5555555555556,"7","12","Candidate","UGP202000269-7",NA
"UGP202000090-3",7,13,"2","1","2_1","OT1NAM22","A","Regular",2.77777777777778,"7","13","Candidate","UGP202000090-3",NA
"UGP202000207-8",7,14,"2","1","2_1","OT1NAM22","B","Regular",18.5185185185185,"7","14","Candidate","UGP202000207-8",NA
"NASPOT_11",7,15,"2","1","2_1","OT1NAM22","B","Parent",32.2592592592593,"7","15","Candidate","NASPOT_11",NA
"UGP202000188-4",7,16,"2","1","2_1","OT1NAM22","B","Regular",0.888888888888889,"7","16","Candidate","UGP202000188-4",NA
"UGP202000159-4",7,17,"2","1","2_1","OT1NAM22","B","Regular",8.92592592592592,"7","17","Candidate","UGP202000159-4",NA
"UGP202000017-15",7,18,"2","1","2_1","OT1NAM22","A","Regular",4.44444444444444,"7","18","Candidate","UGP202000017-15",NA
"UGP202000102-1",7,19,"2","1","2_1","OT1NAM22","A","Regular",10,"7","19","Candidate","UGP202000102-1",NA
"New_Kawogo",7,20,"2","1","2_1","OT1NAM22","C","Check",2.22222222222222,"7","20","Check",NA,"New_Kawogo"
"UGP202000146-7",7,21,"3","1","3_1","OT1NAM22","B","Regular",46.3703703703704,"7","21","Candidate","UGP202000146-7",NA
"UGP202000250-4",7,22,"3","1","3_1","OT1NAM22","B","Regular",35.2222222222222,"7","22","Candidate","UGP202000250-4",NA
"NASPOT_9_O",7,23,"3","1","3_1","OT1NAM22","A","Parent",44.4444444444444,"7","23","Candidate","NASPOT_9_O",NA
"UGP202000042-8",7,24,"3","1","3_1","OT1NAM22","A","Regular",5.25925925925926,"7","24","Candidate","UGP202000042-8",NA
"UGP202000223-3",7,25,"3","1","3_1","OT1NAM22","B","Regular",21.4814814814815,"7","25","Candidate","UGP202000223-3",NA
"UGP202000253-5",7,26,"3","1","3_1","OT1NAM22","A","Regular",8.59259259259259,"7","26","Candidate","UGP202000253-5",NA
"UGP202000276-5",7,27,"3","1","3_1","OT1NAM22","B","Regular",NA,"7","27","Candidate","UGP202000276-5",NA
"UGP202000143-12",7,28,"3","1","3_1","OT1NAM22","B","Regular",2.22222222222222,"7","28","Candidate","UGP202000143-12",NA
